number components; knn; acc score; f1 score; roc score; time
11,0000;17,0000;0,0318;0,0371;0,0311;1,5368
11,0000;18,0000;0,0326;0,0378;0,0320;1,5042
11,0000;19,0000;0,0298;0,0331;0,0293;1,3937
11,0000;20,0000;0,0281;0,0330;0,0274;0,9320
11,0000;21,0000;0,0286;0,0313;0,0281;1,2105
11,0000;22,0000;0,0257;0,0291;0,0251;1,0412
11,0000;23,0000;0,0311;0,0349;0,0305;1,1156
11,0000;24,0000;0,0314;0,0344;0,0309;0,9599
11,0000;25,0000;0,0251;0,0292;0,0245;0,9300
12,0000;1,0000;0,0257;0,0414;0,0254;1,8831
12,0000;2,0000;0,0290;0,0324;0,0287;10,4706
12,0000;3,0000;0,0232;0,0276;0,0228;7,1329
12,0000;4,0000;0,0277;0,0327;0,0272;5,7586
12,0000;5,0000;0,0249;0,0267;0,0247;5,3425
12,0000;6,0000;0,0280;0,0312;0,0276;3,8333
12,0000;7,0000;0,0265;0,0322;0,0258;2,9083
12,0000;8,0000;0,0292;0,0346;0,0286;3,4029
12,0000;9,0000;0,0250;0,0319;0,0244;2,7258
12,0000;10,0000;0,0305;0,0350;0,0299;2,4187
12,0000;11,0000;0,0350;0,0385;0,0345;2,3216
12,0000;12,0000;0,0310;0,0362;0,0303;1,9310
12,0000;13,0000;0,0286;0,0333;0,0279;1,6513
12,0000;14,0000;0,0294;0,0346;0,0288;2,1635
12,0000;15,0000;0,0348;0,0406;0,0341;1,6383
12,0000;16,0000;0,0244;0,0271;0,0239;1,4088
12,0000;17,0000;0,0284;0,0332;0,0277;1,5325
12,0000;18,0000;0,0266;0,0323;0,0260;1,2767
12,0000;19,0000;0,0305;0,0350;0,0299;1,3464
12,0000;20,0000;0,0242;0,0280;0,0237;1,0268
12,0000;21,0000;0,0305;0,0329;0,0302;1,4323
12,0000;22,0000;0,0309;0,0354;0,0303;1,1441
12,0000;23,0000;0,0291;0,0332;0,0286;1,0516
12,0000;24,0000;0,0268;0,0290;0,0264;1,0923
12,0000;25,0000;0,0266;0,0304;0,0261;0,9220
13,0000;1,0000;0,0261;0,0417;0,0259;5,7897
13,0000;2,0000;0,0334;0,0380;0,0332;11,5977
13,0000;3,0000;0,0284;0,0319;0,0280;6,7693
13,0000;4,0000;0,0237;0,0303;0,0231;6,2187
13,0000;5,0000;0,0281;0,0323;0,0276;5,0314
13,0000;6,0000;0,0273;0,0309;0,0269;4,0081
13,0000;7,0000;0,0239;0,0294;0,0234;3,7546
13,0000;8,0000;0,0225;0,0252;0,0222;3,3502
13,0000;9,0000;0,0233;0,0286;0,0228;2,1905
13,0000;10,0000;0,0273;0,0327;0,0268;2,4193
13,0000;11,0000;0,0261;0,0300;0,0256;2,4668
13,0000;12,0000;0,0262;0,0318;0,0256;2,2585
13,0000;13,0000;0,0291;0,0343;0,0285;1,8028
13,0000;14,0000;0,0284;0,0334;0,0278;1,9080
13,0000;15,0000;0,0313;0,0376;0,0307;1,5188
13,0000;16,0000;0,0301;0,0361;0,0294;1,3512
13,0000;17,0000;0,0252;0,0299;0,0248;1,4275
13,0000;18,0000;0,0295;0,0366;0,0288;1,2703
13,0000;19,0000;0,0234;0,0285;0,0227;1,3363
13,0000;20,0000;0,0297;0,0348;0,0290;0,9169
13,0000;21,0000;0,0268;0,0302;0,0263;0,9891
13,0000;22,0000;0,0336;0,0400;0,0329;1,2654
13,0000;23,0000;0,0232;0,0284;0,0225;0,9908
13,0000;24,0000;0,0298;0,0351;0,0291;1,0530
13,0000;25,0000;0,0326;0,0397;0,0318;1,0033
14,0000;1,0000;0,0296;0,0402;0,0295;2,7292
14,0000;2,0000;0,0295;0,0322;0,0293;8,8244
14,0000;3,0000;0,0349;0,0399;0,0344;7,9434
14,0000;4,0000;0,0281;0,0340;0,0276;6,5815
14,0000;5,0000;0,0225;0,0277;0,0220;5,4213
14,0000;6,0000;0,0269;0,0330;0,0262;4,2686
14,0000;7,0000;0,0245;0,0297;0,0240;3,7692
14,0000;8,0000;0,0273;0,0323;0,0268;2,8593
14,0000;9,0000;0,0270;0,0335;0,0263;2,0633
14,0000;10,0000;0,0260;0,0299;0,0255;2,7369
14,0000;11,0000;0,0210;0,0266;0,0204;1,8421
14,0000;12,0000;0,0262;0,0294;0,0258;2,3830
14,0000;13,0000;0,0262;0,0317;0,0256;1,8089
14,0000;14,0000;0,0269;0,0316;0,0263;1,9151
14,0000;15,0000;0,0259;0,0334;0,0252;1,2200
14,0000;16,0000;0,0292;0,0355;0,0285;1,5175
14,0000;17,0000;0,0326;0,0395;0,0318;1,1524
14,0000;18,0000;0,0293;0,0349;0,0287;1,2216
14,0000;19,0000;0,0277;0,0333;0,0270;1,2377
14,0000;20,0000;0,0287;0,0344;0,0280;1,2117
14,0000;21,0000;0,0266;0,0313;0,0260;1,0082
14,0000;22,0000;0,0334;0,0392;0,0327;1,0915
14,0000;23,0000;0,0311;0,0363;0,0304;1,0212
14,0000;24,0000;0,0248;0,0285;0,0243;1,0451
14,0000;25,0000;0,0306;0,0353;0,0300;0,8536
15,0000;1,0000;0,0317;0,0429;0,0316;3,7694
15,0000;2,0000;0,0314;0,0360;0,0311;9,3329
15,0000;3,0000;0,0291;0,0313;0,0289;6,2847
15,0000;4,0000;0,0259;0,0295;0,0255;4,0188
15,0000;5,0000;0,0281;0,0337;0,0276;5,2743
15,0000;6,0000;0,0235;0,0285;0,0230;3,4366
15,0000;7,0000;0,0225;0,0292;0,0219;3,5265
15,0000;8,0000;0,0270;0,0324;0,0265;2,9037
15,0000;9,0000;0,0273;0,0324;0,0267;2,3723
15,0000;10,0000;0,0253;0,0317;0,0246;2,5089
15,0000;11,0000;0,0247;0,0293;0,0241;2,3197
15,0000;12,0000;0,0282;0,0312;0,0278;2,3721
15,0000;13,0000;0,0308;0,0375;0,0301;1,7179
15,0000;14,0000;0,0236;0,0283;0,0231;1,6727
15,0000;15,0000;0,0282;0,0333;0,0276;1,3934
15,0000;16,0000;0,0275;0,0333;0,0269;1,4214
15,0000;17,0000;0,0247;0,0291;0,0242;1,2369
15,0000;18,0000;0,0221;0,0254;0,0216;1,4632
15,0000;19,0000;0,0194;0,0228;0,0190;1,2848
15,0000;20,0000;0,0307;0,0362;0,0301;0,8802
15,0000;21,0000;0,0267;0,0328;0,0260;1,0362
15,0000;22,0000;0,0236;0,0268;0,0231;0,9292
15,0000;23,0000;0,0210;0,0229;0,0207;0,9327
15,0000;24,0000;0,0286;0,0330;0,0280;0,8426
15,0000;25,0000;0,0260;0,0284;0,0255;0,7076
16,0000;1,0000;0,0312;0,0508;0,0308;2,6465
16,0000;2,0000;0,0293;0,0325;0,0290;9,9302
16,0000;3,0000;0,0241;0,0269;0,0238;6,6981
16,0000;4,0000;0,0243;0,0304;0,0237;5,2210
16,0000;5,0000;0,0300;0,0356;0,0295;3,7128
16,0000;6,0000;0,0247;0,0292;0,0242;3,8433
16,0000;7,0000;0,0256;0,0331;0,0249;4,0884
16,0000;8,0000;0,0272;0,0312;0,0267;3,3288
16,0000;9,0000;0,0240;0,0290;0,0234;2,3476
16,0000;10,0000;0,0241;0,0286;0,0236;2,0304
16,0000;11,0000;0,0273;0,0301;0,0269;1,9800
16,0000;12,0000;0,0236;0,0294;0,0230;1,9555
16,0000;13,0000;0,0224;0,0267;0,0219;1,7830
16,0000;14,0000;0,0253;0,0299;0,0248;1,5708
16,0000;15,0000;0,0280;0,0336;0,0275;1,2575
