number components; knn; acc; f1 score; roc score; time
17,0000;22,0000;0,7866;0,7994;0,7855;4,2611
17,0000;23,0000;0,7818;0,7937;0,7808;4,1092
17,0000;24,0000;0,7830;0,7947;0,7820;4,1569
17,0000;25,0000;0,7882;0,8022;0,7870;3,6219
18,0000;1,0000;0,6731;0,6183;0,6764;28,6212
18,0000;2,0000;0,7266;0,7342;0,7263;28,8065
18,0000;3,0000;0,7443;0,7540;0,7437;22,4440
18,0000;4,0000;0,7404;0,7505;0,7398;17,6300
18,0000;5,0000;0,7414;0,7535;0,7406;15,3513
18,0000;6,0000;0,7429;0,7582;0,7418;12,8989
18,0000;7,0000;0,7487;0,7624;0,7477;10,7813
18,0000;8,0000;0,7526;0,7670;0,7516;10,0877
18,0000;9,0000;0,7551;0,7692;0,7541;8,5858
18,0000;10,0000;0,7575;0,7710;0,7565;7,8103
18,0000;11,0000;0,7534;0,7657;0,7525;7,6357
18,0000;12,0000;0,7710;0,7847;0,7699;6,2191
18,0000;13,0000;0,7617;0,7715;0,7610;6,6196
18,0000;14,0000;0,7687;0,7814;0,7677;6,2992
18,0000;15,0000;0,7619;0,7710;0,7613;5,3887
18,0000;16,0000;0,7688;0,7790;0,7681;4,7336
18,0000;17,0000;0,7685;0,7780;0,7678;5,1089
18,0000;18,0000;0,7742;0,7851;0,7734;5,2400
18,0000;19,0000;0,7703;0,7803;0,7696;4,5884
18,0000;20,0000;0,7764;0,7885;0,7754;4,2299
18,0000;21,0000;0,7742;0,7869;0,7731;4,2585
18,0000;22,0000;0,7782;0,7907;0,7772;4,3577
18,0000;23,0000;0,7745;0,7851;0,7737;4,1199
18,0000;24,0000;0,7764;0,7898;0,7753;3,9576
18,0000;25,0000;0,7710;0,7834;0,7700;3,8872
19,0000;1,0000;0,6659;0,6136;0,6691;30,9461
19,0000;2,0000;0,7386;0,7439;0,7385;28,9387
19,0000;3,0000;0,7441;0,7565;0,7433;21,9861
19,0000;4,0000;0,7455;0,7585;0,7446;18,0747
19,0000;5,0000;0,7408;0,7524;0,7400;14,0344
19,0000;6,0000;0,7512;0,7619;0,7505;12,7566
19,0000;7,0000;0,7545;0,7676;0,7535;10,5042
19,0000;8,0000;0,7555;0,7696;0,7544;9,3519
19,0000;9,0000;0,7556;0,7692;0,7546;8,4167
19,0000;10,0000;0,7619;0,7751;0,7609;7,4869
19,0000;11,0000;0,7566;0,7694;0,7557;7,0707
19,0000;12,0000;0,7691;0,7827;0,7680;7,7459
19,0000;13,0000;0,7722;0,7836;0,7713;7,6724
