knn,comp,acc,f_score,roc,time
7,1,0.562,0.5946,0.5606,8.775
7,1,0.5511,0.5773,0.55,9.078
7,1,0.5511,0.5684,0.5505,9.259
7,1,0.5766,0.6081,0.5752,4.754
7,1,0.6095,0.6246,0.6089,8.947
7,1,0.5438,0.5763,0.5424,8.389
7,1,0.5547,0.5379,0.5558,19.815
7,1,0.6022,0.6148,0.6018,8.229
7,1,0.5584,0.5568,0.5587,6.9089
7,1,0.5876,0.6063,0.5868,9.709
7,1,0.5401,0.5468,0.5401,5.973
7,1,0.5803,0.5818,0.5805,7.785
7,1,0.5766,0.5915,0.5761,8.2389
7,1,0.5328,0.5524,0.5321,5.6099
7,1,0.6204,0.651,0.6188,8.806
7,1,0.6131,0.6159,0.6133,9.43
7,1,0.6022,0.5948,0.6029,7.17
7,1,0.5803,0.5725,0.581,11.5762
7,1,0.5474,0.5867,0.5456,11.212
7,1,0.6095,0.6192,0.6092,7.401
7,1,0.5949,0.6105,0.5943,6.818
7,1,0.5474,0.5441,0.5479,8.949
7,1,0.5693,0.6118,0.5672,7.7193
8,1,0.6095,0.6219,0.6091,4.564
8,1,0.5839,0.6174,0.5823,7.8019
8,1,0.562,0.5804,0.5614,7.052
8,1,0.5693,0.5786,0.5691,8.7519
8,1,0.6095,0.6298,0.6086,9.567
8,1,0.5766,0.6027,0.5755,6.4652
8,1,0.5985,0.5769,0.5999,4.225
8,1,0.5693,0.5725,0.5695,9.394
8,1,0.562,0.5276,0.5639,10.2398
8,1,0.5182,0.5417,0.5174,8.474
8,1,0.5438,0.5487,0.5438,13.206
8,1,0.6058,0.617,0.6055,9.967
8,1,0.5693,0.5903,0.5685,5.593
8,1,0.5766,0.5857,0.5764,9.739
8,1,0.5657,0.5795,0.5652,9.815
8,1,0.5401,0.5333,0.5407,9.233
8,1,0.5803,0.6102,0.5789,10.482
8,1,0.6095,0.6397,0.6079,8.8401
8,1,0.5985,0.6181,0.5977,4.99
8,1,0.5766,0.5827,0.5766,4.6181
8,1,0.6058,0.617,0.6055,5.2589
8,1,0.5912,0.619,0.5899,12.8289
8,1,0.6058,0.6351,0.6044,4.831
8,1,0.6387,0.6754,0.6365,12.115
8,1,0.6058,0.617,0.6055,6
8,1,0.6022,0.5824,0.6035,9.027
8,1,0.6058,0.6,0.6064,7.5591
8,1,0.6058,0.6447,0.6037,14.135
8,1,0.6204,0.6389,0.6196,4.574
8,1,0.5949,0.605,0.5946,6.4491
8,1,0.5693,0.5693,0.5696,5.742
8,1,0.5292,0.5474,0.5286,14.103
8,1,0.5438,0.5552,0.5435,5.5353
8,1,0.5219,0.5436,0.5211,6.018
8,1,0.5803,0.5993,0.5795,5.605
8,1,0.6022,0.628,0.601,8.466
8,1,0.5547,0.5448,0.5555,9.011
8,1,0.5949,0.6237,0.5935,6.819
8,1,0.5766,0.5735,0.5771,10.988
8,1,0.562,0.5522,0.5628,5.896
8,1,0.5474,0.554,0.5474,9.32
8,1,0.6022,0.6065,0.6022,5.3182
8,1,0.635,0.6667,0.6333,9.9815
8,1,0.5365,0.548,0.5362,7.563
8,1,0.5985,0.6043,0.5985,5.425
8,1,0.5657,0.5795,0.5652,12.111
8,1,0.562,0.5455,0.5631,11.071
8,1,0.5182,0.5252,0.5182,10.6183
8,1,0.5547,0.596,0.5528,6.7159
8,1,0.5693,0.563,0.5699,11.996
9,1,0.573,0.5923,0.5722,7.574
9,1,0.5657,0.5704,0.5657,10.1235
9,1,0.5912,0.6056,0.5907,4.8233
9,1,0.5839,0.5899,0.5839,11.0051
9,1,0.573,0.5683,0.5735,10.8199
9,1,0.4964,0.4926,0.4967,9.917
9,1,0.6058,0.6,0.6064,4.847
9,1,0.5876,0.5861,0.588,4.7833
9,1,0.6168,0.6535,0.6148,8.091
9,1,0.6058,0.6351,0.6044,11.1171
9,1,0.5365,0.4858,0.5389,5.45
9,1,0.5511,0.5393,0.5519,14.517
9,1,0.5365,0.548,0.5362,11.588
9,1,0.5803,0.5936,0.5799,5.3833
9,1,0.5693,0.5564,0.5703,9.2139
9,1,0.6131,0.6187,0.6131,10.385
9,1,0.6496,0.6667,0.6488,6.686
9,1,0.5985,0.6043,0.5985,8.567
9,1,0.5474,0.5782,0.5461,8.577
9,1,0.5474,0.5373,0.5482,6.123
9,1,0.5474,0.5407,0.548,9.469
9,1,0.5511,0.5654,0.5506,6.3981
