number components; knn; acc score; f1 score; roc score; time
19,0000;4,0000;0,8581;0,8578;0,8585;16,2171
19,0000;5,0000;0,8485;0,8483;0,8489;12,3532
19,0000;6,0000;0,8514;0,8514;0,8518;10,6037
19,0000;7,0000;0,8550;0,8557;0,8553;9,6821
19,0000;8,0000;0,8522;0,8534;0,8524;9,0091
19,0000;9,0000;0,8542;0,8532;0,8546;7,4792
19,0000;10,0000;0,8399;0,8416;0,8400;7,6205
19,0000;11,0000;0,8425;0,8434;0,8427;6,3717
19,0000;12,0000;0,8350;0,8357;0,8353;6,4601
19,0000;13,0000;0,8313;0,8337;0,8314;6,1907
