knn; number components; acc score; f1 score; roc score; time
7,0000;1,0000;0,5365;0,5415;0,5365;5,8969
7,0000;1,0000;0,5401;0,5227;0,5412;13,0280
7,0000;1,0000;0,5657;0,6149;0,5632;7,7170
7,0000;1,0000;0,5876;0,6090;0,5867;8,3020
7,0000;1,0000;0,5584;0,5632;0,5584;7,3680
7,0000;1,0000;0,6095;0,6137;0,6095;5,5520
7,0000;1,0000;0,5839;0,6149;0,5825;11,3798
7,0000;1,0000;0,5620;0,5946;0,5606;8,7750
7,0000;1,0000;0,5511;0,5773;0,5500;9,0780
7,0000;1,0000;0,5511;0,5684;0,5505;9,2590
7,0000;1,0000;0,5766;0,6081;0,5752;4,7540
7,0000;1,0000;0,6095;0,6246;0,6089;8,9470
7,0000;1,0000;0,5438;0,5763;0,5424;8,3890
7,0000;1,0000;0,5547;0,5379;0,5558;19,8150
7,0000;1,0000;0,6022;0,6148;0,6018;8,2290
7,0000;1,0000;0,5584;0,5568;0,5587;6,9089
7,0000;1,0000;0,5876;0,6063;0,5868;9,7090
7,0000;1,0000;0,5401;0,5468;0,5401;5,9730
7,0000;1,0000;0,5803;0,5818;0,5805;7,7850
7,0000;1,0000;0,5766;0,5915;0,5761;8,2389
7,0000;1,0000;0,5328;0,5524;0,5321;5,6099
7,0000;1,0000;0,6204;0,6510;0,6188;8,8060
7,0000;1,0000;0,6131;0,6159;0,6133;9,4300
7,0000;1,0000;0,6022;0,5948;0,6029;7,1700
7,0000;1,0000;0,5803;0,5725;0,5810;11,5762
7,0000;1,0000;0,5474;0,5867;0,5456;11,2120
7,0000;1,0000;0,6095;0,6192;0,6092;7,4010
7,0000;1,0000;0,5949;0,6105;0,5943;6,8180
7,0000;1,0000;0,5474;0,5441;0,5479;8,9490
7,0000;1,0000;0,5693;0,6118;0,5672;7,7193
8,0000;1,0000;0,6095;0,6219;0,6091;4,5640
8,0000;1,0000;0,5839;0,6174;0,5823;7,8019
8,0000;1,0000;0,5620;0,5804;0,5614;7,0520
8,0000;1,0000;0,5693;0,5786;0,5691;8,7519
8,0000;1,0000;0,6095;0,6298;0,6086;9,5670
8,0000;1,0000;0,5766;0,6027;0,5755;6,4652
8,0000;1,0000;0,5985;0,5769;0,5999;4,2250
8,0000;1,0000;0,5693;0,5725;0,5695;9,3940
8,0000;1,0000;0,5620;0,5276;0,5639;10,2398
8,0000;1,0000;0,5182;0,5417;0,5174;8,4740
8,0000;1,0000;0,5438;0,5487;0,5438;13,2060
8,0000;1,0000;0,6058;0,6170;0,6055;9,9670
8,0000;1,0000;0,5693;0,5903;0,5685;5,5930
8,0000;1,0000;0,5766;0,5857;0,5764;9,7390
8,0000;1,0000;0,5657;0,5795;0,5652;9,8150
8,0000;1,0000;0,5401;0,5333;0,5407;9,2330
8,0000;1,0000;0,5803;0,6102;0,5789;10,4820
8,0000;1,0000;0,6095;0,6397;0,6079;8,8401
8,0000;1,0000;0,5985;0,6181;0,5977;4,9900
8,0000;1,0000;0,5766;0,5827;0,5766;4,6181
8,0000;1,0000;0,6058;0,6170;0,6055;5,2589
8,0000;1,0000;0,5912;0,6190;0,5899;12,8289
8,0000;1,0000;0,6058;0,6351;0,6044;4,8310
8,0000;1,0000;0,6387;0,6754;0,6365;12,1150
8,0000;1,0000;0,6058;0,6170;0,6055;6,0000
8,0000;1,0000;0,6022;0,5824;0,6035;9,0270
8,0000;1,0000;0,6058;0,6000;0,6064;7,5591
8,0000;1,0000;0,6058;0,6447;0,6037;14,1350
8,0000;1,0000;0,6204;0,6389;0,6196;4,5740
8,0000;1,0000;0,5949;0,6050;0,5946;6,4491
8,0000;1,0000;0,5693;0,5693;0,5696;5,7420
8,0000;1,0000;0,5292;0,5474;0,5286;14,1030
8,0000;1,0000;0,5438;0,5552;0,5435;5,5353
8,0000;1,0000;0,5219;0,5436;0,5211;6,0180
8,0000;1,0000;0,5803;0,5993;0,5795;5,6050
8,0000;1,0000;0,6022;0,6280;0,6010;8,4660
8,0000;1,0000;0,5547;0,5448;0,5555;9,0110
8,0000;1,0000;0,5949;0,6237;0,5935;6,8190
8,0000;1,0000;0,5766;0,5735;0,5771;10,9880
8,0000;1,0000;0,5620;0,5522;0,5628;5,8960
8,0000;1,0000;0,5474;0,5540;0,5474;9,3200
8,0000;1,0000;0,6022;0,6065;0,6022;5,3182
8,0000;1,0000;0,6350;0,6667;0,6333;9,9815
8,0000;1,0000;0,5365;0,5480;0,5362;7,5630
8,0000;1,0000;0,5985;0,6043;0,5985;5,4250
8,0000;1,0000;0,5657;0,5795;0,5652;12,1110
8,0000;1,0000;0,5620;0,5455;0,5631;11,0710
8,0000;1,0000;0,5182;0,5252;0,5182;10,6183
8,0000;1,0000;0,5547;0,5960;0,5528;6,7159
8,0000;1,0000;0,5693;0,5630;0,5699;11,9960
9,0000;1,0000;0,5730;0,5923;0,5722;7,5740
9,0000;1,0000;0,5657;0,5704;0,5657;10,1235
9,0000;1,0000;0,5912;0,6056;0,5907;4,8233
9,0000;1,0000;0,5839;0,5899;0,5839;11,0051
9,0000;1,0000;0,5730;0,5683;0,5735;10,8199
9,0000;1,0000;0,4964;0,4926;0,4967;9,9170
9,0000;1,0000;0,6058;0,6000;0,6064;4,8470
9,0000;1,0000;0,5876;0,5861;0,5880;4,7833
9,0000;1,0000;0,6168;0,6535;0,6148;8,0910
9,0000;1,0000;0,6058;0,6351;0,6044;11,1171
9,0000;1,0000;0,5365;0,4858;0,5389;5,4500
9,0000;1,0000;0,5511;0,5393;0,5519;14,5170
9,0000;1,0000;0,5365;0,5480;0,5362;11,5880
9,0000;1,0000;0,5803;0,5936;0,5799;5,3833
9,0000;1,0000;0,5693;0,5564;0,5703;9,2139
9,0000;1,0000;0,6131;0,6187;0,6131;10,3850
9,0000;1,0000;0,6496;0,6667;0,6488;6,6860
9,0000;1,0000;0,5985;0,6043;0,5985;8,5670
9,0000;1,0000;0,5474;0,5782;0,5461;8,5770
9,0000;1,0000;0,5474;0,5373;0,5482;6,1230
9,0000;1,0000;0,5474;0,5407;0,5480;9,4690
9,0000;1,0000;0,5511;0,5654;0,5506;6,3981
9,0000;1,0000;0,5949;0,6159;0,5940;7,6811
9,0000;1,0000;0,6058;0,6197;0,6053;6,6470
9,0000;1,0000;0,5730;0,5836;0,5727;6,4020
9,0000;1,0000;0,5438;0,5552;0,5435;5,5620
9,0000;1,0000;0,5730;0,5866;0,5725;9,8229
9,0000;1,0000;0,6131;0,6131;0,6134;3,8970
9,0000;1,0000;0,5219;0,5404;0,5213;4,3921
9,0000;1,0000;0,5511;0,5914;0,5492;8,1480
9,0000;1,0000;0,6095;0,6397;0,6079;9,0541
9,0000;1,0000;0,5766;0,6159;0,5747;7,2530
9,0000;1,0000;0,6022;0,6036;0,6024;9,0220
9,0000;1,0000;0,5803;0,5878;0,5802;6,8339
9,0000;1,0000;0,5985;0,6099;0,5982;5,6480
9,0000;1,0000;0,5584;0,5632;0,5584;4,7560
9,0000;1,0000;0,5985;0,6233;0,5974;3,9370
9,0000;1,0000;0,5730;0,5745;0,5732;7,9514
9,0000;1,0000;0,6058;0,6115;0,6058;10,1320
9,0000;1,0000;0,5985;0,5703;0,6003;3,7610
9,0000;1,0000;0,5803;0,5936;0,5799;5,5280
9,0000;1,0000;0,5438;0,5520;0,5437;4,3720
9,0000;1,0000;0,6131;0,6294;0,6125;4,3401
9,0000;1,0000;0,5401;0,5909;0,5377;7,6160
9,0000;1,0000;0,5584;0,5898;0,5570;9,7870
9,0000;1,0000;0,5839;0,5870;0,5841;5,9120
9,0000;1,0000;0,6168;0,6237;0,6167;9,4731
9,0000;1,0000;0,5985;0,6014;0,5987;10,7930
9,0000;1,0000;0,5730;0,5923;0,5722;13,8510
9,0000;1,0000;0,5839;0,6096;0,5828;6,9870
10,0000;1,0000;0,6460;0,6523;0,6459;5,8720
10,0000;1,0000;0,5949;0,6212;0,5937;4,7240
10,0000;1,0000;0,5766;0,6054;0,5753;4,4180
10,0000;1,0000;0,5876;0,6117;0,5865;6,0006
10,0000;1,0000;0,5584;0,5724;0,5579;4,3220
10,0000;1,0000;0,5401;0,5191;0,5414;7,9400
10,0000;1,0000;0,5474;0,5664;0,5467;7,4600
10,0000;1,0000;0,5876;0,6117;0,5865;11,4259
10,0000;1,0000;0,5949;0,5904;0,5954;10,0808
10,0000;1,0000;0,6387;0,6374;0,6391;7,1920
10,0000;1,0000;0,5182;0,5111;0,5188;10,0970
10,0000;1,0000;0,5730;0,5714;0,5733;6,5391
10,0000;1,0000;0,6168;0,6441;0,6154;9,8960
